﻿Full Name,First Name,Last Name,Job Title,Primary Company,Ticker
Yuan Siong Lee,Yuan Siong,Lee,President and Group Chief Executive Officer and Executive Director,AIA Group Ltd,1299.HK
Visanu Prasattongosoth,Visanu,Prasattongosoth,Chairman of the Board,Airports of Thailand PCL,AOT.BK
Joe Tsai,Joe,Tsai,Chairman of the Board,Alibaba Group Holding Ltd,BABA.K
Stine Bosse,Stine,Bosse,Independent Member of the Supervisory Board,Allianz SE,ALVG.DE
Andrew Jassy,Andrew,Jassy,President and Chief Executive Officer and Director,Amazon.com Inc,AMZN.O
Michel Doukeris,Michel,Doukeris,Chairman of the Board,Ambev SA,ABEV3.SA
Steven Vondran,Steven,Vondran,President and Chief Executive Officer and Director,American Tower Corp,AMT
Patrick Jany,Patrick,Jany,Chief Financial Officer and Member of the Executive Board,AP Moeller - Maersk A/S,MAERSKb.CO
Warren East,Warren,East,Independent Member of the Supervisory Board,ASML Holding NV,ASML.AS
Ted Hsu,Ted,Hsu,Vice Chairman of the Board and Chief Strategy Officer,Asustek Computer Inc,2357.TW
John Stankey,John,Stankey,President and Chief Executive Officer and Director,AT&T Inc,T
Michael Lazarus,Michael,Lazarus,Independent Member of Board,Azul SA,AZUL.K
Ivo Gueorguiev,Ivo,Gueorguiev,Independent Non-Executive Member of the Board of Directors,Banca Transilvania SA,ROTLV.BX
Thomas Carell,Thomas,Carell,Independent Member of the Supervisory Board,BASF SE,BASFn.DE
Rafael Augusto Sperendio,Rafael Augusto,Sperendio,Chief Financial Officer and Member of the Executive Board,BB Seguridade Participacoes SA,BBSE3.SA
Jean Lemierre,Jean,Lemierre,Chairman of the Board,BNP Paribas SA,BNPP.PA
Kelly Ortberg,Kelly,Ortberg,President and Chief Executive Officer and Director,Boeing Co,BA
Hock Tan,Hock,Tan,President and Chief Executive Officer and Director,Broadcom Inc,AVGO.O
Carole Ferrand,Carole,Ferrand,Chief Financial Officer and Member of the Executive Board,Capgemini SE,CAPP.PA
Chris Winfrey,Chris,Winfrey,President and Chief Executive Officer and Director,Charter Communications Inc,CHTR.O
Nan Sun,Nan,Sun,Secretary of the Board and Member of Management Committee,China International Capital Corp Ltd,601995.SS
Xiliang Cai,Xiliang,Cai,Chairman of the Board,China Life Insurance Co Ltd,601628.SS
Weiping Liu,Weiping,Liu,Chairman of the Board,China Yangtze Power Co Ltd,600900.SS
Ron Michael Vachris,Ron Michael,Vachris,President and Chief Executive Officer and Director,Costco Wholesale Corp,COST.O
Alexander Ruoff,Alexander,Ruoff,Chief Operating Officer and Member of the Management Board,CTS Eventim AG & Co KgaA,EVDG.DE
Rainer Blair,Rainer,Blair,President and Chief Executive Officer and Director,Danaher Corp,DHR
Jeffrey Clarke,Jeffrey,Clarke,Vice Chairman of the Board and Co-Chief Operating Officer,Dell Technologies Inc,DELL.K
Gregor Pottmeyer,Gregor,Pottmeyer,Chief Financial Officer and Member of the Executive Board,Deutsche Boerse AG,DB1Gn.DE
Michael Ebbe,Michael,Ebbe,Chief Financial Officer and Member of the Executive Board,DSV A/S,DSV.CO
Rafael Otero,Rafael,Otero,Chief Operating Officer and Member of the Management Board,DWS Group GmbH & Co KgaA,DWSG.DE
Olivier Minger,Olivier,Minger,Chief Financial Officer and Member of the Executive Board,Ems Chemie Holding AG,EMSN.S
Manuel Bento,Manuel,Bento,Chief Operating Officer and Member of the Management Board,Euronext NV,ENX.PA
Stephanie Ferris,Stephanie,Ferris,President and Chief Executive Officer and Director,Fidelity National Information Services Inc,FIS
William Richard Periam,William Richard,Periam,Non-Executive Member of the Board of Directors,Ford Otomotiv Sanayi AS,FROTO.IS
Xiangneng Liu,Xiangneng,Liu,Secretary of the Board and Joint Company Secretary and Executive Committee Member,Guangzhou Automobile Group Co Ltd,601238.SS
Zhoufeng Li,Zhoufeng,Li,Secretary of the Board and Executive Committee Member,Guoyuan Securities Co Ltd,000728.SZ
Clemens Ungsthofel,Clemens,Ungsthofel,Chief Financial Officer and Member of the Executive Board,Hannover Rueck SE,HNRGn.DE
Thomas Frist,Thomas,Frist,Chairman of the Board,HCA Healthcare Inc,HCA
Hui Zhang,Hui,Zhang,Secretary of the Board and Member of Executive Committee,Huatai Securities Co Ltd,601688.SS
Leijun Hu,Leijun,Hu,Vice Chairman of the Board and Chief Technology Officer and General Manager,IEIT SYSTEMS Co Ltd,000977.SZ
Jiajin Lu,Jiajin,Lu,Chairman of the Board,Industrial Bank Co Ltd,601166.SS
Stephen Creese,Stephen,Creese,Member of the Supervisory Board,ING Bank Slaski SA,INGP.WA
Mutsuo Iwai,Mutsuo,Iwai,Chairman of the Board,Japan Tobacco Inc,2914.T
Richard Liu,Richard,Liu,Chairman of the Board,JD.Com Inc,9618.HK
Jorg Gerbig,Jorg,Gerbig,Chief Operating Officer and Member of the Management Board,Just Eat Takeaway.com NV,TKWY.AS
Frank Markus Weber,Frank Markus,Weber,Chief Financial Officer and Member of the Executive Board,Knorr Bremse AG,KBX.DE
Kitty Koelemeijer,Kitty,Koelemeijer,Independent Member of the Supervisory Board,Koninklijke KPN NV,KPN.AS
Deqin Zhang,Deqin,Zhang,Chairman of the Board,Kweichow Moutai Co Ltd,600519.SS
Christoph Beume,Christoph,Beume,Member of the Supervisory Board,LEG Immobilien SE,LEGn.DE
Barbara Mary Richmond,Barbara Mary,Richmond,Independent Member of the Board,Lonza Group AG,LONN.S
Jean-Paul Agon,Jean-Paul,Agon,Chairman of the Board,L'Oreal SA,OREP.PA
Roberto Bellissimo Rodrigues,Roberto Bellissimo,Rodrigues,Chief Financial Officer and Member of the Executive Board,Magazine Luiza SA,MGLU3.SA
David Marriott,David,Marriott,Chairman of the Board,Marriott International Inc,MAR.O
Michael Miebach,Michael,Miebach,President and Chief Executive Officer and Director,Mastercard Inc,MA
Rafael Gasset,Rafael,Gasset,Chief Operating Officer and Member of the Management Board,METRO AG,B4B.DE
Vince Forlenza,Vince,Forlenza,Chairman of the Board,Moody's Corp,MCO
Kuanysh Omarbekov,Kuanysh,Omarbekov,Chief Operating Officer and Member of the Management Board,NAK Kazatomprom AO,KZAP.KZ
Akira Shimada,Akira,Shimada,President and Executive President and Chief Executive Officer and Representative Director,Nippon Telegraph and Telephone Corp,9432.T
Lars Fruergaard Joergensen,Lars Fruergaard,Joergensen,President and Chief Executive Officer,Novo Nordisk A/S,NOVOb.CO
Jensen Huang,Jensen,Huang,President and Chief Executive Officer and Director,NVIDIA Corp,NVDA.O
Reinhard Florey,Reinhard,Florey,Chief Financial Officer and Member of the Executive Board,OMV AG,OMVV.VI
