Full Name,First Name,Last Name,Job Title,Primary Company,Ticker
Stefan Schulthess,Stefan,Schulthess,Chief Executive Officer and CEO and Geschäftsführer,SGV Holding,
Thomas Tribelhorn,Thomas,Tribelhorn,Chief Executive Officer and Vorsitzender der Geschäftsleitung,ADEV Solarstrom AG,
Klaus Bender,Klaus,Bender,Non-Executive Chairman of the Board of Directors and Vorsitzender Verwaltungsrat,Acron Helvetia I Immobilien AG,
Robert Ettlin,Robert,Ettlin,Non-Executive Member of the Board of Directors,Matador Secondary Private Equity AG,
Walter Keller,Walter,Keller,Chief Executive Officer and CEO,Admicasa Holding Ltd.,
Primo Bianchi,Primo,Bianchi,Chief Executive Officer and CEO,Agruna AG,
Reto Monsch,Reto,Monsch,Chief Executive Officer and CEO,Alpha Rheintal Bank,
Hans Bless,Hans,Bless,Chief Executive Officer and Vorsitzender der Geschäftsleitung,ebs Erdgas + Biogas AG,
Thomas Stromer,Thomas,Stromer,Non-Executive Member of the Board of Directors and Vizepräsident des Verwaltungsrates,Aluminium-Laufen AG Liesberg,
Markus Casanova,Markus,Casanova,Non-Executive Chairman of the Board of Directors and Präsidentin des Verwaltungsrats,Aktiengesellschaft für Erstellung billiger Wohnhäuser in Winterthur,
Susanne Reinhard,Susanne,Reinhard,Non-Executive Member of the Board of Directors and Mitglied des Verwaltungsrats,Athris AG,
Rico Bischof,Rico,Bischof,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Bank in Zuzwil,
Suzanne Marclay-Merz,Suzanne,Marclay-Merz,Non-Executive Chairman of the Board of Directors and Präsidentin des Verwaltungsrats,Bank Leerau,
Urs Schenker,Urs,Schenker,Non-Executive Member of the Board of Directors and Vizepräsident des Verwaltungsrates,Bank SLM,
Gerhard Ammann,Gerhard,Ammann,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Bank von Roll AG,
Kaspar Flück,Kaspar,Flück,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,BBO Bank Brienz-Oberhasli,
Armin Rohner,Armin,Rohner,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Bergbahnen Wildhaus AG,
Felix Schönle,Felix,Schönle,Non-Executive Member of the Board of Directors and Vizepräsident des Verwaltungsrates,Bernerland Bank,
Felix Buschor,Felix,Buschor,Non-Executive Member of the Board of Directors and Vizepräsident des Verwaltungsrates,Biene-Bank im Rheintal,
Alain Guttmann,Alain,Guttmann,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Bobst Group,
Paul-André Sanglard,Paul-André,Sanglard,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Bondpartners,
Daniel Graf,Daniel,Graf,Non-Executive Member of the Board of Directors and Mitglied des Verwaltungsrats,Brauerei Schützengarten AG,
Simone Maisto,Simone,Maisto,Chief Executive Officer and Vorsitzender der Geschäftsleitung,Unipharma,
Erich Ettlin,Erich,Ettlin,Non-Executive Member of the Board of Directors and Mitglied des Verwaltungsrats,Brunni-Bahnen,
Lukas Berger,Lukas,Berger,Non-Executive Member of the Board of Directors and Mitglied des Verwaltungsrats,BS Bank,
Roland Stump,Roland,Stump,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,BuchsMedien AG,
Raymond Loretan,Raymond,Loretan,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,SSE Group,
Carole Hübscher,Carole,Hübscher,Non-Executive Chairman of the Board of Directors and Präsidentin des Verwaltungsrats,Caran d`Ache,
