Full Name;First Name;Last Name;Job Title;Primary Company;Ticker
Henri de Castries;Henri;de Castries;Non-Executive Independent Vice Chairman of the Board, Lead Independent Director;Nestle SA;NESN.S
Andre Hoffmann;Andre;Hoffmann;Non-Executive Independent Vice Chairman of the Board;Roche Holding AG;ROG.S
Paul Tucker;Paul;Tucker;Non-Executive Independent Member of the Board of Directors;Swiss Re AG;SRENH.S
Keith Grossman;Keith;Grossman;Independent Vice Chairman of the Board, Lead Independent Director;Alcon AG;ALCC.S
Hanne Birgitte Breinbjerg Sorensen;Hanne Birgitte Breinbjerg;Sorensen;Non-Executive Vice Chairwoman of the Board, Lead Independent Director;Holcim AG;HOLN.S
Marion Helmes;Marion;Helmes;Independent Member of the Board;Lonza Group AG;LONN.S
Carole Vischer;Carole;Vischer;Non-Executive Independent Member of the Board of Directors;Schindler Holding AG;SCHP.S
Paul Schuler;Paul;Schuler;Member of the Board of Directors;Sika AG;SIKA.S
Antonio Bulgheroni;Antonio;Bulgheroni;Non-Executive Independent Member of the Board;Chocoladefabriken Lindt & Spruengli AG;LISN.S
Dominik Bürgy;Dominik;Bürgy;Non-Executive Member of the Board of Directors;Kuehne und Nagel International AG;KNIN.S
Eunice Zehnder-Lai;Eunice;Zehnder-Lai;Vice Chairman of the Board of Directors;Geberit AG;GEBN.S
Klaus Tschutscher;Klaus;Tschutscher;Independent Vice Chairman of the Board;Swiss Life Holding AG;SLHN.S
Stacy Enxing Seng;Stacy;Enxing Seng;Non-Executive Independent Vice Chairman of the Board;Sonova Holding AG;SOON.S
Daniela Aeschlimann;Daniela;Aeschlimann;Member of the Board of Directors;Swatch Group AG;UHR.S
Thomas Straumann;Thomas;Straumann;Non-Executive Independent Vice Chairman of the Board;Straumann Holding AG;STMN.S
Ian Cookson;Ian;Cookson;Non-Executive Independent Vice Chairman of the Board;Temenos AG;TEMN.S
Raymond Bär;Raymond;Bär;Honorary Chairman of the Board;Julius Baer Gruppe AG;BAER.S
Thomas Studhalter;Thomas;Studhalter;Independent Non-Executive Vice Chairman of the Board;Swiss Prime Site AG;SPSN.S
Henrik Saxborn;Henrik;Saxborn;Non-Executive Independent Vice Chairman of the Board;PSP Swiss Property AG;PSPN.S
Abdullah Mohammed Alissa;Abdullah Mohammed;Alissa;Non-Executive Independent Vice Chairman of the Board;Clariant AG;CLN.S
Claudia Pletscher;Claudia;Pletscher;Vice Chairwoman of the Board of Directors;Flughafen Zuerich AG;FHZN.S
Enrico Laghi;Enrico;Laghi;Non-Executive Independent Vice Chairman of the Board;Avolta AG;AVOL.S
Martha Scheiber;Martha;Scheiber;Independent Non-Executive Vice Chairman of the Board;Luzerner Kantonalbank AG;LUKN.S
Clive Meanwell;Clive;Meanwell;Independent Vice Chairman of the Board;BB Biotech AG;BION.S
Urs Leinhäuser;Urs;Leinhäuser;Vice Chairman of the Board;VAT Group AG;VACN.S
Andreas Umbach;Andreas;Umbach;Non-Executive Independent Chairman of the Board;SIG Group AG;SIGNC.S
Hernan Rodriguez Wilson;Hernan;Rodriguez Wilson;Chairman of the Board;Colbun SA;
Gustavo Möller-Hergt;Gustavo;Moeller-Hergt;Chairman of the Board, Chief Executive Officer, Member of the Management Board;Also Holding AG;
Eftychia Fischer;Eftychia;Fischer;Independent Chairman of the Board;Banque Cantonale Vaudoise;BCVN.S
Andreas Utermann;Andreas;Utermann;Independent Chairman of the Board;Vontobel Holding AG;VONN.S
Steve Woolley;Steve;Woolley;Member of the Executive Committee, President & CEO Americas;Barry Callebaut AG;BARN.S
Lukas Braunschweiler;Lukas;Braunschweiler;Non-Executive Chairman of the Board;Tecan Group AG;TECN.S
Ralph-Thomas Honegger;Ralph-Thomas;Honegger;Non-Executive Chairman of the Board of Directors;Allreal Holding AG;ALLN.S
Patrick Burkhalter;Patrick;Burkhalter;Non-Executive Independent Chairman of the Board;Belimo Holding AG;BEAN.S
Franco Morra;Franco;Morra;Non-Executive Independent Chairman of the Board;Cembra Money Bank AG;CMBN.S
Konrad Graber;Konrad;Graber;Non-Executive Independent Chairman of the Board;Emmi AG;EMMN.S
Thomas Schmuckli;Thomas;Schmuckli;Non-Executive Independent Chairman of the Board;Helvetia Holding AG;HELN.S
Thomas Oetterli;Thomas;Oetterli;Non-Executive Independent Chairman of the Board;SFS Group AG;SFSN.S
Oliver Riemenschneider;Oliver;Riemenschneider;Non-Executive Independent Chairman of the Board of Director;V-Zug AG;VZUG.S
Philip Mosimann;Philip;Mosimann;Non-Executive Independent Chairman of the Board of Directors;Bucher Industries AG;BUCN.S
Jörg Reinhardt;Jörg;Reinhardt;Independent Non-Executive Chairman of the Board;Novartis AG;NOVN.S
Michel Lies;Michel;Lies;Independent Non-Executive Chairman of the Board;Zurich Insurance Group AG;ZURN.S
Peter Voser;Peter;Voser;Non-Executive Independent Chairman of the Board;Abb Ltd;ABBN.S
Johann Rupert;Johann;Rupert;Non-Executive Independent Chairman of the Board of Director;Compagnie Financière Richemont SA;CFR.S
Calvin Grieder;Calvin;Grieder;Non-Executive Independent Chairman of the Board;Givaudan SA;GIVN.S
Wendy Becker;Wendy;Becker;Non-Executive Independent Chairman of the Board;Logitech International SA;LOGN.S
Markus Dennler;Markus;Dennler;Non-Executive Independent Chairman of the Board;Swissquote Group Holding SA;SQN.S
Markus Neuhaus;Markus;Neuhaus;Non-Executive Independent Chairman of the Board;Galenica AG;GALE.S
Yves Serra;Yves;Serra;Non-Executive Independent Chairman of the Board;Georg Fischer AG;GF.S
Peter Spuhler;Peter;Spuhler;Non-Executive Independent Chairman of the Board;Stadler Rail AG;SRAIL.S
Christoph Aeschlimann;Christoph;Aeschlimann;Chairman of the Executive Board, Chief Executive Officer;Swisscom AG;SCMN.S
Sergio Ermotti;Sergio;Ermotti;Chairman of the Executive Board, Group Chief Executive Officer;UBS Group AG;UBSG.S
Christian Schmid;Christian;Schmid;Chairman of the Management Board, Chief Executive Officer;St Galler Kantonalbank AG;SGKN.S
Geraldine Picaud;Geraldine;Picaud;Chief Executive Officer;SGS SA;SGSN.S
Magdalena Martullo-Blocher;Magdalena;Martullo-Blocher;Chief Executive Officer, Executive Vice Chairman of the Board, Member of the Executive Management;Ems Chemie Holding AG;EMSN.S
David Layton;David;Layton;Chief Executive Officer, Head Private Equity, Member of the Executive Team and Global Executive Board;Partners Group Holding AG;PGHN.S
Daniel Ducrey;Daniel;Ducrey;Chief Executive Officer, Member of the Executive Board;Mobimo Holding AG;MOBN.S
Denis Machuel;Denis;Machuel;Chief Executive Officer, Member of the Executive Committee;Adecco Group AG;ADEN.S
Armin Brun;Armin;Brun;Chief Executive Officer, Member of the Management Board;Berner Kantonalbank AG;BEKN.S
Suzanne Thoma;Suzanne;Thoma;Executive Chairman of the Board, Chief Executive Officer, Member of the Executive Committee;Sulzer AG;SUN.S
Gabriel Brenna;Gabriel;Brenna;Group Chief Executive Officer, Head of Private Banking Division, Member of the Management Board and Group Executive Board;Liechtensteinische Landesbank AG;LLBN.S
Volker Cwielong;Volker;Cwielong;Chief Executive Officer;Dätwyler Holding AG ;DAE.S
Robert Itschner;Robert;Itschner;Chief Executive Officer, Member of the Executive Board;BKW AG;BKWB.S
André Muller;André;Muller;Chief Executive Officer, Chief Financial Officer, Member of the Executive Board;Idorsia Ltd;IDIA.S
Michael Süss;Michael;Süss;Executive Chairman of the Board;OC Oerlikon Corporation AG Pfaeffikon;OERL.S
Till Reuter;Till;Reuter;Chief Executive Officer;Dormakaba Holding AG;DOKA.S
Fabrice Billard;Fabrice;Billard;Chief Executive Officer;Burckhardt Compression Holding AG;BCHN.S
