Full Name,First Name,Last Name,Job Title,Primary Company,Ticker
Jensen Yenigün,Jensen,Yenigün,Unknown,Unknown,Unknown
Gregor Sun,Gregor,Sun,Unknown,Unknown,Unknown
Andrew Ortberg,Andrew,Ortberg,Unknown,Unknown,Unknown
Frank Markus Winfrey,Frank Markus,Winfrey,Unknown,Unknown,Unknown
Jörg McMillon,Jörg,McMillon,Unknown,Unknown,Unknown
Takeshi Lundstedt,Takeshi,Lundstedt,Unknown,Unknown,Unknown
Doug Cai,Doug,Cai,Unknown,Unknown,Unknown
Jensen Ren,Jensen,Ren,Unknown,Unknown,Unknown
Kevin Dai,Kevin,Dai,Unknown,Unknown,Unknown
Christian Tricoire,Christian,Tricoire,Unknown,Unknown,Unknown
Christopher van den Broek,Christopher,van den Broek,Unknown,Unknown,Unknown
Thomas Stankey,Thomas,Stankey,Unknown,Unknown,Unknown
Takeshi Tsai,Takeshi,Tsai,Unknown,Unknown,Unknown
Gregor Lee,Gregor,Lee,Unknown,Unknown,Unknown
Julian Marriott,Julian,Marriott,Unknown,Unknown,Unknown
Steven Ferris,Steven,Ferris,Unknown,Unknown,Unknown
Robin Forlenza,Robin,Forlenza,Unknown,Unknown,Unknown
Doug Ferris,Doug,Ferris,Unknown,Unknown,Unknown
Takeshi Baier,Takeshi,Baier,Unknown,Unknown,Unknown
Gregor Tullier,Gregor,Tullier,Unknown,Unknown,Unknown
Nathalie Barton,Nathalie,Barton,Unknown,Unknown,Unknown
Mutsuo Tricoire,Mutsuo,Tricoire,Unknown,Unknown,Unknown
Vincent Srivastav,Vincent,Srivastav,Unknown,Unknown,Unknown
Xiangneng Liu,Xiangneng,Liu,Unknown,Unknown,Unknown
Lu Weber,Lu,Weber,Unknown,Unknown,Unknown
Patrick Liu,Patrick,Liu,Unknown,Unknown,Unknown
Doug Blair,Doug,Blair,Unknown,Unknown,Unknown
Martin Meakins,Martin,Meakins,Unknown,Unknown,Unknown
João Luiz Tsai,João Luiz,Tsai,Unknown,Unknown,Unknown
Thomas Hsu,Thomas,Hsu,Unknown,Unknown,Unknown
Xiangneng Amon,Xiangneng,Amon,Unknown,Unknown,Unknown
Pietro Carlo Pottmeyer,Pietro Carlo,Pottmeyer,Unknown,Unknown,Unknown
Patrick Fukunaga,Patrick,Fukunaga,Unknown,Unknown,Unknown
James Amon,James,Amon,Unknown,Unknown,Unknown
Robin Lundstedt,Robin,Lundstedt,Unknown,Unknown,Unknown
Michael Höttges,Michael,Höttges,Unknown,Unknown,Unknown
Nan Gorman,Nan,Gorman,Unknown,Unknown,Unknown
Stephanie Sato,Stephanie,Sato,Unknown,Unknown,Unknown
Jean Mueller,Jean,Mueller,Unknown,Unknown,Unknown
Kazuhiro Carell,Kazuhiro,Carell,Unknown,Unknown,Unknown
René McMillon,René,McMillon,Unknown,Unknown,Unknown
Julian Amon,Julian,Amon,Unknown,Unknown,Unknown
Dagmar Tan,Dagmar,Tan,Unknown,Unknown,Unknown
Stephen Tullier,Stephen,Tullier,Unknown,Unknown,Unknown
René VanWoerkom,René,VanWoerkom,Unknown,Unknown,Unknown
Doug Scharf,Doug,Scharf,Unknown,Unknown,Unknown
Dagmar Vachris,Dagmar,Vachris,Unknown,Unknown,Unknown
René Barton,René,Barton,Unknown,Unknown,Unknown
Ted van den Broek,Ted,van den Broek,Unknown,Unknown,Unknown
João Luiz Richmond,João Luiz,Richmond,Unknown,Unknown,Unknown
Doug Florey,Doug,Florey,Unknown,Unknown,Unknown
Leena Weber,Leena,Weber,Unknown,Unknown,Unknown
Jack Ilan,Jack,Ilan,Unknown,Unknown,Unknown
Doug Tsuga,Doug,Tsuga,Unknown,Unknown,Unknown
Dagmar Taneja,Dagmar,Taneja,Unknown,Unknown,Unknown
Thomas zu Putlitz,Thomas,zu Putlitz,Unknown,Unknown,Unknown
Neal Sun,Neal,Sun,Unknown,Unknown,Unknown
Takeshi Müller,Takeshi,Müller,Unknown,Unknown,Unknown
József Yenigün,József,Yenigün,Unknown,Unknown,Unknown
Charles Gerbig,Charles,Gerbig,Unknown,Unknown,Unknown
Olivier Ferris,Olivier,Ferris,Unknown,Unknown,Unknown
Apirat Bento,Apirat,Bento,Unknown,Unknown,Unknown
