Full Name,First Name,Last Name,Job Title,Primary Company,Ticker
Roberto Kunz,Roberto,Kunz,Unknown,Unknown,Unknown
Charles Schnorf,Charles,Schnorf,Unknown,Unknown,Unknown
Carole Keller,Carole,Keller,Unknown,Unknown,Unknown
Primo Gmür,Primo,Gmür,Unknown,Unknown,Unknown
Klaus Schulthess,Klaus,Schulthess,Unknown,Unknown,Unknown
Roberto Bischof,Roberto,Bischof,Unknown,Unknown,Unknown
Franco Meyer,Franco,Meyer,Unknown,Unknown,Unknown
Charles Marclay-Merz,Charles,Marclay-Merz,Unknown,Unknown,Unknown
Walter Stump,Walter,Stump,Unknown,Unknown,Unknown
Benno Huber,Benno,Huber,Unknown,Unknown,Unknown
Stefan Strapp-Aemissegger,Stefan,Strapp-Aemissegger,Unknown,Unknown,Unknown
Primo Ettlin,Primo,Ettlin,Unknown,Unknown,Unknown
Marianne Weber,Marianne,Weber,Unknown,Unknown,Unknown
Andrej Stump,Andrej,Stump,Unknown,Unknown,Unknown
Alain Furrer,Alain,Furrer,Unknown,Unknown,Unknown
Nina Murisier,Nina,Murisier,Unknown,Unknown,Unknown
Markus Sanglard,Markus,Sanglard,Unknown,Unknown,Unknown
Roberto Pfyl,Roberto,Pfyl,Unknown,Unknown,Unknown
Primo Bernhardt,Primo,Bernhardt,Unknown,Unknown,Unknown
Roland Kronig,Roland,Kronig,Unknown,Unknown,Unknown
Franco Rhyn,Franco,Rhyn,Unknown,Unknown,Unknown
Rolf Murisier,Rolf,Murisier,Unknown,Unknown,Unknown
Andreas Heller,Andreas,Heller,Unknown,Unknown,Unknown
Benno Roth,Benno,Roth,Unknown,Unknown,Unknown
Primo Pfyl,Primo,Pfyl,Unknown,Unknown,Unknown
Silke Bühlmann,Silke,Bühlmann,Unknown,Unknown,Unknown
Stefan Stump,Stefan,Stump,Unknown,Unknown,Unknown
Franco Bucher,Franco,Bucher,Unknown,Unknown,Unknown
Andreas Fontannaz,Andreas,Fontannaz,Unknown,Unknown,Unknown
Charles Rohner,Charles,Rohner,Unknown,Unknown,Unknown
Margrit Kronig,Margrit,Kronig,Unknown,Unknown,Unknown
Susana Stump,Susana,Stump,Unknown,Unknown,Unknown
Suzanne Savalle,Suzanne,Savalle,Unknown,Unknown,Unknown
Ueli Fontannaz,Ueli,Fontannaz,Unknown,Unknown,Unknown
Stefan Kronig,Stefan,Kronig,Unknown,Unknown,Unknown
Joachim Amstad,Joachim,Amstad,Unknown,Unknown,Unknown
Werner Sanglard,Werner,Sanglard,Unknown,Unknown,Unknown
Susana Tribelhorn,Susana,Tribelhorn,Unknown,Unknown,Unknown
Sonja Bader,Sonja,Bader,Unknown,Unknown,Unknown
Marybel Behluli,Marybel,Behluli,Unknown,Unknown,Unknown
Rolf Bianchi,Rolf,Bianchi,Unknown,Unknown,Unknown
Dieter Fluri,Dieter,Fluri,Unknown,Unknown,Unknown
Lukas Godinho,Lukas,Godinho,Unknown,Unknown,Unknown
Nina Guttmann,Nina,Guttmann,Unknown,Unknown,Unknown
Carole Amstad,Carole,Amstad,Unknown,Unknown,Unknown
Urs Fluri,Urs,Fluri,Unknown,Unknown,Unknown
Marc Amstad,Marc,Amstad,Unknown,Unknown,Unknown
Ueli Ettlin,Ueli,Ettlin,Unknown,Unknown,Unknown
Daniel Piccoli,Daniel,Piccoli,Unknown,Unknown,Unknown
Marianne Rhyn,Marianne,Rhyn,Unknown,Unknown,Unknown
Felix Godinho,Felix,Godinho,Unknown,Unknown,Unknown
Pascal Kronig,Pascal,Kronig,Unknown,Unknown,Unknown
Benno Casanova,Benno,Casanova,Unknown,Unknown,Unknown
Andrej Milliet,Andrej,Milliet,Unknown,Unknown,Unknown
Erich Stromer,Erich,Stromer,Unknown,Unknown,Unknown
Charles Gmür,Charles,Gmür,Unknown,Unknown,Unknown
Dieter Loretan,Dieter,Loretan,Unknown,Unknown,Unknown
Primo Bader,Primo,Bader,Unknown,Unknown,Unknown
Kevin Amstad,Kevin,Amstad,Unknown,Unknown,Unknown
Alain Pfändler,Alain,Pfändler,Unknown,Unknown,Unknown
Barbara Bernhardt,Barbara,Bernhardt,Unknown,Unknown,Unknown
Primo Wicki,Primo,Wicki,Unknown,Unknown,Unknown
Armin Siepmann,Armin,Siepmann,Unknown,Unknown,Unknown
Reto Losey,Reto,Losey,Unknown,Unknown,Unknown
Jonas Gmür,Jonas,Gmür,Unknown,Unknown,Unknown
Norbert Bischof,Norbert,Bischof,Unknown,Unknown,Unknown
Daniel Bernhardt,Daniel,Bernhardt,Unknown,Unknown,Unknown
Jonas Rhyn,Jonas,Rhyn,Unknown,Unknown,Unknown
Heinrich Kessler,Heinrich,Kessler,Unknown,Unknown,Unknown
Primo Moser,Primo,Moser,Unknown,Unknown,Unknown
Sandra Monsch,Sandra,Monsch,Unknown,Unknown,Unknown
Andreas Hoorn,Andreas,Hoorn,Unknown,Unknown,Unknown
Alain Losey,Alain,Losey,Unknown,Unknown,Unknown
Klaus Losey,Klaus,Losey,Unknown,Unknown,Unknown
Andreas Piccoli,Andreas,Piccoli,Unknown,Unknown,Unknown
Primo Spring,Primo,Spring,Unknown,Unknown,Unknown
Simone Monsch,Simone,Monsch,Unknown,Unknown,Unknown
Amédée Waser,Amédée,Waser,Unknown,Unknown,Unknown
Anasse Moser,Anasse,Moser,Unknown,Unknown,Unknown
Jonas Bischof,Jonas,Bischof,Unknown,Unknown,Unknown
Beat Enggist,Beat,Enggist,Unknown,Unknown,Unknown
Amédée Bader,Amédée,Bader,Unknown,Unknown,Unknown
Sandra Strässle,Sandra,Strässle,Unknown,Unknown,Unknown
Robert Pfyl,Robert,Pfyl,Unknown,Unknown,Unknown
Sandra Kronig,Sandra,Kronig,Unknown,Unknown,Unknown
Simone Keller,Simone,Keller,Unknown,Unknown,Unknown
Roland Amstad,Roland,Amstad,Unknown,Unknown,Unknown
Helene Flück,Helene,Flück,Unknown,Unknown,Unknown
Thomas Riggenbach,Thomas,Riggenbach,Unknown,Unknown,Unknown
Anasse Meyer,Anasse,Meyer,Unknown,Unknown,Unknown
Amédée Kronig,Amédée,Kronig,Unknown,Unknown,Unknown
Sonja Pfyl,Sonja,Pfyl,Unknown,Unknown,Unknown
Rico Gouchi,Rico,Gouchi,Unknown,Unknown,Unknown
Ulrich Riggenbach,Ulrich,Riggenbach,Unknown,Unknown,Unknown
Amédée Huber,Amédée,Huber,Unknown,Unknown,Unknown
Anasse Losey,Anasse,Losey,Unknown,Unknown,Unknown
Raphael Keller,Raphael,Keller,Unknown,Unknown,Unknown
Renato Wicki,Renato,Wicki,Unknown,Unknown,Unknown
Helene Kunz,Helence,Kunz,Unknown,Unknown,Unknown
Jonas Monsch,Jonas,Monsch,Unknown,Unknown,Unknown
